21;pseudo_0_20.sqlite;1600 4800 4800 4800  0.1 0.3 0.3 0.3  16000;10;3997;11;1171;12;325;13;143;14;70;15;36;16;18;17;10;18;1;19;0;20;1;21;0;22;1;23;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;pseudo_0_21.sqlite;1600 4800 4800 4800  0.1 0.3 0.3 0.3  16000;10;3767;11;1081;12;333;13;155;14;83;15;27;16;14;17;9;18;1;19;0;20;0;21;0;22;0;23;0;24;0;25;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;pseudo_0_22.sqlite;1600 4800 4800 4800  0.1 0.3 0.3 0.3  16000;10;3999;11;1185;12;348;13;139;14;70;15;40;16;16;17;8;18;1;19;0;20;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;pseudo_0_23.sqlite;1600 4800 4800 4800  0.1 0.3 0.3 0.3  16000;10;3984;11;1150;12;350;13;169;14;77;15;27;16;8;17;8;18;2;19;0;20;0;21;0;22;0;23;1;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;pseudo_0_24.sqlite;1600 4800 4800 4800  0.1 0.3 0.3 0.3  16000;10;3884;11;1146;12;314;13;171;14;70;15;27;16;12;17;7;18;3;19;0;20;0;21;0;22;0;23;0;24;0;25;0;26;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;pseudo_0_25.sqlite;1600 4800 4800 4800  0.1 0.3 0.3 0.3  16000;10;3887;11;1145;12;344;13;155;14;70;15;41;16;12;17;6;18;5;19;1;20;2;21;0;22;0;23;1;24;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;pseudo_0_26.sqlite;1600 4800 4800 4800  0.1 0.3 0.3 0.3  16000;10;3859;11;1157;12;346;13;161;14;91;15;32;16;15;17;4;18;6;19;1;20;0;21;0;22;0;23;0;24;0;25;0;26;0;27;0;28;0;29;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;pseudo_0_27.sqlite;1600 4800 4800 4800  0.1 0.3 0.3 0.3  16000;10;3845;11;1198;12;346;13;154;14;78;15;36;16;16;17;5;18;4;19;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;pseudo_0_28.sqlite;1600 4800 4800 4800  0.1 0.3 0.3 0.3  16000;10;3803;11;1140;12;356;13;138;14;69;15;39;16;16;17;7;18;2;19;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;pseudo_0_29.sqlite;1600 4800 4800 4800  0.1 0.3 0.3 0.3  16000;10;3787;11;1118;12;321;13;140;14;76;15;34;16;14;17;6;18;1;19;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
