# Viktor: 16000 nucleotides with different fractions and corresponding number of repeats from Victor's pipeline
33_pseudo_144_2.sqlite;3904 4032 4032 4032  0.244 0.252 0.252 0.252  16000;10;1557;11;456;12;117;13;63;14;15;15;8;16;5;17;2;18;0;19;0;20;0;21;0;22;1;;;;;;;;;;;;;;;;;;;;;;;;;;
34_pseudo_144_3.sqlite;3904 4032 4032 4032  0.244 0.252 0.252 0.252  16000;10;1566;11;473;12;103;13;45;14;24;15;12;16;3;17;0;18;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35_pseudo_144_4.sqlite;3904 4032 4032 4032  0.244 0.252 0.252 0.252  16000;10;1600;11;437;12;97;13;51;14;28;15;15;16;5;17;0;18;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36_pseudo_144_5.sqlite;3904 4032 4032 4032  0.244 0.252 0.252 0.252  16000;10;1568;11;418;12;116;13;37;14;29;15;9;16;4;17;2;18;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37_pseudo_144_6.sqlite;3904 4032 4032 4032  0.244 0.252 0.252 0.252  16000;10;1637;11;423;12;102;13;48;14;26;15;10;16;6;17;3;18;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38_pseudo_144_7.sqlite;3904 4032 4032 4032  0.244 0.252 0.252 0.252  16000;10;1688;11;408;12;92;13;56;14;23;15;11;16;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39_pseudo_144_8.sqlite;3904 4032 4032 4032  0.244 0.252 0.252 0.252  16000;10;1617;11;399;12;118;13;51;14;21;15;6;16;3;17;0;18;0;19;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40_pseudo_144_9.sqlite;3904 4032 4032 4032  0.244 0.252 0.252 0.252  16000;10;1527;11;390;12;116;13;46;14;14;15;12;16;1;17;2;18;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41_pseudo_192_0.sqlite;4672 3776 3776 3776  0.292 0.236 0.236 0.236  16000;10;1659;11;512;12;116;13;52;14;38;15;11;16;1;17;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42_pseudo_192_1.sqlite;4672 3776 3776 3776  0.292 0.236 0.236 0.236  16000;10;1710;11;489;12;136;13;57;14;29;15;13;16;7;17;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
