CopyNumber,PercentMatches,FullLength,ConsensusLength,fr_A_cons,fr_T_cons,fr_G_cons,fr_C_cons,fr_A_repeat,fr_T_repeat,fr_G_repeat,fr_C_repeat,RepeatsNumber
9.5,100,56,6,2,1,1,2,18,9,10,20,5
8.2,100,521,64,27,26,5,6,222,210,40,50,5
2.4,91,245,104,48,36,5,15,112,89,13,32,3
3.3,83,118,35,20,13,0,2,65,44,4,6,3
9.8,83,58,6,5,1,0,0,44,12,3,0,3
5.4,72,68,14,4,1,2,7,19,6,10,34,3
2.2,100,77,36,10,3,5,18,22,6,10,40,3
2.1,94,31,15,6,3,0,6,12,7,0,13,3
13.5,100,26,2,1,1,0,0,13,14,0,0,1
13.5,100,26,2,1,1,0,0,13,14,0,0,1
14.5,100,28,2,1,1,0,0,14,15,0,0,1
13.5,100,26,2,1,1,0,0,13,14,0,0,1
41.5,90,78,2,1,1,0,0,42,37,0,0,2
2.7,100,237,89,21,25,13,30,61,67,36,74,2
3.1,97,104,34,5,9,8,12,15,26,24,40,1
26.8,91,162,6,3,3,0,0,68,90,1,4,6
26.8,91,162,6,3,3,0,0,68,90,1,4,6
40.3,80,162,4,2,2,0,0,68,90,1,4,6
40.3,80,162,4,2,2,0,0,68,90,1,4,6
4.9,88,32,7,3,3,0,1,14,15,0,4,6
4.9,88,32,7,3,3,0,1,14,15,0,4,6
2.8,83,111,39,18,15,4,2,51,42,11,8,1
2.8,81,108,40,20,14,3,3,49,40,10,10,1
2.8,84,108,40,21,14,2,3,50,42,9,8,1
1.9,100,24,13,7,5,0,1,13,10,0,2,1
2,88,50,26,11,10,2,3,20,20,4,7,1
2.2,100,25,12,2,2,1,7,4,5,2,15,1
5,100,281,56,19,23,5,9,96,116,25,45,1
13.5,100,26,2,1,1,0,0,13,14,0,0,1
14.5,100,28,2,1,1,0,0,14,15,0,0,1
72,100,431,6,2,1,1,2,144,72,72,144,1
6.2,100,351,57,25,19,5,8,154,120,30,48,2
2.2,100,25,12,4,5,2,1,9,11,4,2,2
2.9,87,334,118,49,45,7,17,137,127,23,48,3
4.7,100,139,30,9,18,3,0,43,84,13,0,3
5.8,90,334,58,24,20,5,9,137,127,23,48,3
2.2,95,121,56,24,23,2,7,52,48,6,16,2
39,100,77,2,1,1,0,0,39,39,0,0,2
